variable,dummyVariable,typeEnd,databaseStart,variableStart,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes
resp_cond_der_2,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[resp_condition_der],cat,NA::b,2,missing,missing,N/A,NA::b,missing,Respiratory condition,Respiratory condition,
resp_cond_der_2,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[resp_condition_der],cat,NA::a,2,not applicable,not applicable,N/A,else,not applicable,Respiratory condition,Respiratory condition,
HUI3_beta_transformed,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[HUIDHSI],N/A,Func::hui_beta_transform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HUI3_beta_transformed,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[HUIDHSI],N/A,"(0,1)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ALWDWKY_HUI,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","DerivedVar::[ALCDTTM, ALWDWKY]",N/A,Func::ALWDWKY_HUI,N/A,N/A,N/A,drinks/week,N/A,N/A,N/A,N/A,"In CCHS, non-drinkers have their drinks/week set to non-applicable. For the predictive model, we set them to zero."
ALWDWKY_HUI,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","DerivedVar::[ALCDTTM, ALWDWKY]",N/A,NA::a,N/A,not applicable,not applicable,drinks/week,N/A,not applicable (996),drinks/week,Weekly consumption of alcohol,
ALWDWKY_HUI,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","DerivedVar::[ALCDTTM, ALWDWKY]",N/A,NA::b,N/A,missing,missing,drinks/week,N/A,don't know (997); refusal (998); not stated (999),drinks/week,Weekly consumption of alcohol,
HUI3_arc_sine_transformed,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[HUIDHSI],cont,Func::hui_arc_sine_transform,N/A,N/A,N/A,N/A,N/A,N/A,HUI3,Health Utility Index Mark 3,
HUI3_arc_sine_transformed,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[HUIDHSI],cont,"[-1,1]",N/A,N/A,N/A,N/A,N/A,N/A,HUI3,Health Utility Index Mark 3,
HUI3_arc_sine_back_transformed,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[HUI3_arc_sine_transformed],cont,Func::hui_arc_sine_back_transformed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HUI3_arc_sine_back_transformed,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[HUI3_arc_sine_transformed],cont,"[-0.36,1]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HUI3_beta_back_transformed,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[HUI3_beta_transformed],cont,Func::hui_beta_back_transformed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HUI3_beta_back_transformed,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[HUI3_beta_transformed],cont,"[-0.36,1]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,1,11,Decile 1,Decile 1,N/A,1,Decile 1,Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,2,11,Decile 2,Decile 2,N/A,2,Decile 2,Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,3,11,Decile 3,Decile 3,N/A,3,Decile 3,Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,4,11,Decile 4,Decile 4,N/A,4,Decile 4,Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,5,11,Decile 5,Decile 5,N/A,5,Decile 5,Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,6,11,Decile 6,Decile 6,N/A,6,Decile 6,Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,7,11,Decile 7,Decile 7,N/A,7,Decile 7,Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,8,11,Decile 8,Decile 8,N/A,8,Decile 8,Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,9,11,Decile 9,Decile 9,N/A,9,Decile 9,Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,10,11,Decile 10,Decile 10,N/A,10,Decile 10,Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,NA::a,11,not applicable,not applicable,N/A,96,not applicable,Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,11,11,missing,missing,N/A,"[97,99]",don't know (97); refusal (98); not stated (99),Household income distribution,Household income distribution - (D),
INCDRCA_2,N/A,cat,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2005_p::INCEDRCA, cchs2015_2016_p::INCDVRCA, cchs2017_2018_p::INCDVRCA, [INCDRCA]",cat,NA::b,11,missing,missing,N/A,else,else,Household income distribution,Household income distribution - (D),
