variable,label,labelLong,section,subject,variableType,units,ICES confirmation,databaseStart,variableStart,description
ALCDTTM,Drinker type (last 12 months),Type of drinker (12 months),Health behaviour,Alcohol,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::ALCADTYP, cchs2003_p::ALCCDTYP, cchs2005_p::ALCEDTYP, cchs2015_2016_p::ALCDVTTM, cchs2017_2018_p::ALCDVTTM, cchs2001_i::ALCADTYP, cchs2003_i::ALCCDTYP, cchs2005_i::ALCEDTYP, cchs2015_2016_i::ALCDVTTM, cchs2017_2018_i::ALCDVTTM, [ALCDTTM]",
ALCDTYP_A,Former drinker,Type of drinker,Health behaviour,Alcohol,Categorical,N/A,Yes,"cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, 2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_i::ALCADTYP, cchs2003_i::ALCCDTYP, cchs2005_i::ALCEDTYP, cchs2015_2016_i::ALCDVTTM, cchs2017_2018_i::ALCDVTTM, [ALCDTTM]",
ALWDWKY,Drinks last week,Weekly consumption of alcohol,Health behaviour,Alcohol,Continuous,drinks/week,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::ALCADWKY, cchs2003_p::ALCCDWKY, cchs2005_p::ALCEDWKY, cchs2015_2016_p::ALWDVWKY, cchs2017_2018_p::ALWDVWKY, cchs2001_i::ALCADWKY, cchs2003_i::ALCCDWKY, cchs2005_i:: ALCEDWKY, cchs2015_2016_i::ALWDVWKY, cchs2017_2018_i::ALWDVWKY, [ALWDWKY]",
CCC_071,Hypertension,Do you have high blood pressure?,Health status,Chronic condition,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i ","cchs2001_p::CCCA_071, cchs2003_p::CCCC_071, cchs2005_p::CCCE_071, cchs2015_2016_p::CCC_065, cchs2017_2018_p::CCC_065, cchs2001_i::CCCA_071, cchs2003_i::CCCC_071, cchs2005_i::CCCE_071, cchs2015_2016_i::CCC_065, cchs2017_2018_i::CCC_065,[CCC_071]",
CCC_091,COPD/Emphysema/Bronchitis,"Do you have COPD (eg bronchitis, emphysema)?",Health status,Chronic condition,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::CCCA_91B, cchs2003_p::CCCC_91B, cchs2015_2016_p::CCC_030, cchs2017_2018_p::CCC_030, cchs2001_i::CCCA_91B, cchs2003_i::CCCC_91B, cchs2005_i::CCCE_91F, cchs2007_2008_i::CCC_91F, cchs2015_2016_i::CCC_030, cchs2017_2018_i::CCC_030, [CCC_091]",
CCC_101,Diabetes,Do you have diabetes?,Health status,Chronic condition,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::CCCA_101, cchs2003_p::CCCC_101, cchs2005_p::CCCE_101, cchs2015_2016_p::CCC_095, cchs2017_2018_p::CCC_095, cchs2001_i::CCCA_101, cchs2003_i::CCCC_101, cchs2005_i::CCCE_101, cchs2015_2016_i::CCC_095, cchs2017_2018_i::CCC_095,[CCC_101]",
CCC_111,Epilepsy,Do you have epilepsy?,Health status,Chronic condition,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_i, cchs2003_i, cchs2005_i","cchs2001_p::CCCA_111, cchs2003_p::CCCC_111, cchs2005_p::CCCE_111, cchs2001_i::CCCA_111, cchs2003_i::CCCC_111, cchs2005_i::CCCE_111",
CCC_121,Heart Disease,Do you have heart disease?,Health status,Chronic condition,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::CCCA_121, cchs2003_p::CCCC_121, cchs2005_p::CCCE_121, cchs2015_2016_p::CCC_085, cchs2017_2018_p::CCC_085, cchs2001_i::CCCA_121, cchs2003_i::CCCC_121, cchs2005_i::CCCE_121, cchs2015_2016_i::CCC_085, cchs2017_2018_i::CCC_085,[CCC_121]",
CCC_151,Stroke,Do you suffer from effects of stroke?,Health status,Chronic condition,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, ccsh2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::CCCA_151, cchs2003_p::CCCC_151, cchs2005_p::CCCE_151, cchs2015_2016_p::CCC_090, cchs2017_2018_p::CCC_090, cchs2001_i::CCCA_151, cchs2003_i::CCCC_151, cchs2005_i::CCCE_151, cchs2015_2016_i::CCC_090, cchs2017_2018_i::CCC_090,[CCC_151]",
CCC_280,Mood disorder,Do you have a mood disorder?,Health status,Chronic condition,Categorical,N/A,Yes,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2003_p::CCCC_280, cchs2005_p::CCCE_280, cchs2015_2016_p::CCC_195, cchs2017_2018_p::CCC_195, cchs2003_i::CCCC_280, cchs2005_i::CCCE_280, cchs2015_2016_i::CCC_195, cchs2017_2018_i::CCC_195, [CCC_280]",
DHH_AGE,Age,Age,Demographics,Age,Continuous,Years,Yes,"cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_i::DHHA_AGE, cchs2003_i::DHHC_AGE, cchs2005_i::DHHE_AGE, [DHH_AGE]",Continuous age variable for shared files and ICES
DHH_SEX,Sex,Sex,Demographics,Sex,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::DHHA_SEX, cchs2003_p::DHHC_SEX, cchs2005_p::DHHE_SEX, cchs2001_i::DHHA_SEX, cchs2003_i::DHHC_SEX, cchs2005_i::DHHE, [DHH_SEX]",
DHH_MS,Marital status,Marital status,Sociodemographics,Marital Status,Categorical,N/A,Yes,"cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_i::DHHA_MS, cchs2003_i::DHHC_MS, cchs2005_i::DHHE_MS, [DHH_MS]",Categorical Marital Status
DHH_MS_A,Marital status,Marital status,Sociodemographics,Marital Status,Categorical,N/A,Yes,"cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_i::DHHA_MS, cchs2003_i::DHHC_MS, cchs2005_i::DHHE_MS, [DHH_MS]",Categorical Marital Status with DemPoRt specific categories
EDUDR04,Highest education,Highest level/education - 4 categories,Sociodemographics,Education,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::EDUADR04, cchs2003_p::EDUCDR04, cchs2005_p::EDUEDR04, cchs2001_i::EDUADR04, cchs2003_i::EDUCDR04, cchs2005_i::EDUEDR04, cchs2015_2016_i::EHG2DVR3, cchs2017_2018_i::EHG2DVR3, [EDUDR04]",
FVCDJUI,Juice consumption,Daily consumption - fruit juice (D),Health behaviour,Diet,Continuous,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs20013_2014_i, cchs2015_2016_i","cchs2001_p::FVCADJUI, cchs2003_p::FVCCDJUI, cchs2005_p::FVCEDJUI, cchs2015_2016_p::FVCDVJUI, cchs2017_2018_p::FVCDVJUI, cchs2001_i::FVCADJUI, cchs2003_i::FVCCDJUI, cchs2005_i::FVCEDJUI, cchs2015_2016_i::FVCDVJUI, [FVCDJUI]",
FVCDPOT,Potato consumption,Daily consumption - potatoes (D),Health behaviour,Diet,Continuous,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs20013_2014_i, cchs2015_2016_i","cchs2001_p::FVCADPOT, cchs2003_p::FVCCDPOT, cchs2005_p::FVCEDPOT, cchs2015_2016_p::FVCDVPOT, cchs2017_2018_p::FVCDVPOT,cchs2001_i::FVCADPOT, cchs2003_i::FVCCDPOT, cchs2005_i::FVCEDPOT, cchs2015_2016_i::FVCDVPOT, [FVCDPOT]",
FVCDTOT,Total fruit/veg consumption,Daily consumptoin - total fruits and veg. - (D),Health behaviour,Diet,Continuous,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs20013_2014_i, cchs2015_2016_i","cchs2001_p::FVCADTOT, cchs2003_p::FVCCDTOT, cchs2005_p::FVCEDTOT, cchs2015_2016_p::FVCDVTOT, cchs2017_2018_p::FVCDVTOT, cchs2001_i::FVCADTOT, cchs2003_i::FVCCDTOT, cchs2005_i::FVCEDTOT, cchs2015_2016_i::FVCDVTOT,[FVCDTOT]",
GEN_01,Self-perceived health,Self-perceived health,Health status,Self-perceived health,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::GENA_01, cchs2003_p::GENC_01, cchs2005_p::GENE_01, cchs2015_2016_p::GEN_005, cchs2017_2018_p::GEN_005, cchs2001_i::GENA_i, cchs2003_i::GENC_01, cchs2005_i::GENE_01, cchs2015_2016_i::GEN_005, cchs2017_2018_i::GEN_005, [GEN_01]",
GEN_07,Self-perceived life stress,Self-perceived life stress,Health status,Mental health,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::GENA_07, cchs2003_p::GENC_07, cchs2005_p::GENE_07, cchs2015_2016_p::GEN_020, cchs2017_2018_p:: GEN_020, cchs2001_i::GENA_07, cchs2003_i::GENC_07, cchs2005_i::GENE_07, cchs2015_2016_i::GEN_020, cchs2017_2018_i:: GEN_020, [GEN_07]",
GEN_10,Sense of belonging,Sense of belonging in the community,Health status,Mental health,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::GENA_10, cchs2003_p::GENC_10, cchs2005_p::GENE_10, cchs2015_2016_p::GEN_030, cchs2017_2018_p::GEN_030, cchs2001_i::GENA_01, cchs2003_i::GENC_01, cchs2005_i::GENE_01, cchs2015_2016_i::GEN_030, cchs2017_2018_i::GEN_030, [GEN_10]",
HUI06,HUI Hearing ability - in a group without a hearing aid,Hearing ability ,Health status,Health utility index,Categorical,N/A,Yes,"cchs2001_i, cchs2003_i, cchs_2009_2010_i, cchs2013_2014_i","cchs2001_i::HUIA_06, cchs2003_i::HUAC_06, [HUI_06]",
HUI07,HUI Hearing ability - in a group with a hearing aid,Hearing ability ,Health status,Health utility index,Categorical,N/A,Yes,"cchs2001_i, cchs2003_i, cchs_2009_2010_i, cchs2013_2014_i","cchs2001_i::HUIA_07, cchs2003_i::HUIC_07, [HUI_07]",
HUI07A,HUI Hearing ability -able to hear,Hearing ability ,Health status,Health utility index,Categorical,N/A,Yes,"cchs2001_i, cchs2003_i, cchs_2009_2010_i, cchs2013_2014_i, cchs_2017_2018_i","cchs2001_i::HUIA_07A, cchs2003_i::HUIC_07A, cchs2017_2018_i::WDM_101, [HUI_07A]",
HUI08,HUI Hearing ability - able to hear in a quiet room without hearing aid,Hearing ability ,Health status,Health utility index,Categorical,N/A,Yes,"cchs2001_i, cchs2003_i, cchs_2009_2010_i, cchs2013_2014_i","cchs2001_i::HUIA_08, cchs2003_i::HUIC_08, [HUI_08]",
HUI09,HUI Hearing ability - able to hear in a quiet room with hearing aid,Hearing ability ,Health status,Health utility index,Categorical,N/A,Yes,"cchs2001_i, cchs2003_i, cchs_2009_2010_i, cchs2013_2014_i","cchs2001_i::HUIA_08, cchs2003_i::HUIC_08, [HUI_08]",
HWTGBMI,BMI,"BMI / self-report - (D,G)",Health status,BMI,Continuous,kg/m2,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::HWTAGBMI, cchs2003_p::HWTCGBMI, cchs2005_p::HWTEGBMI, cchs2015_2016_p::HWTDGBMI, cchs2017_2018_p::HWTDGBMI, cchs2009_s::HWTDBMI, cchs2010_s::HWTDBMI, cchs2012_s::HWTDBMI, cchs2001_i::HWTAGBMI,   [HWTGBMI]",
HWTDBMI,BMI,"BMI / self-report - (D,G)",Health status,BMI,Continuous,kg/m2,Yes,"cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i,  cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_i::HWTADBMI, cchs2003_i::HWTCDBMI, cchs2005_i::HWTEDBMI, cchs2015_2016_i::HWTDVBMI, cchs2017_2018_i::HWTDVBMI, [HWTDBMI]",
HWTDBMI_der,BMI,"BMI / self-report - (D,G)",Health status,BMI,Continuous,kg/m2,Yes,"cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i,  cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[HWTDHTM, HWTDWTK]",
HWTDBMI_der_cat4,BMI,"BMI / self-report - (D,G)",Health status,BMI,Categorical,kg/m2,Yes,"cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i,  cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::HWTDBMI_der_cat4,
HWTDHTM,Height,Height (metres)/self-reported - (D),Health status,Height,Continuous,meters,Yes,"cchs_2001_i, cchs_2003_i, cchs_2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_i::HWTADHTM, cchs_2003_i::HWTCDHTM, cchs_2005_i::HWTEDHTM, 2015_2016_i::HWTDVHTM, cchs2017_2018_i::HTWDVHTM, [HWTDHTM]",
HWTDWTK,Weight,Weight - kilograms (D),Health status,Weight,Continuous,kg,Yes,"cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, ccsh2015_2016_i, cchs2017_2018_i","cchs2001_i::HWTADWTK, cchs2003_i::HWTCDWTK, cchs2005_i::HWTEDWTK, cchs2015_2016_i::HWTDVWTK, cchs2017_2018_i::HWTDVWTK, [HWTDWTK]",
PACFLEI,Leisure physical activites,Leisure physical activity,Health behaviour,Exercise,Categorical,N/A,Yes,"cchs2001_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_i::PACAFLEI, cchs2005_i::PACEFLEI, [PACFLEI]",
RAC_6D,Needs help - heavy housework,Needs help - heavy housework,Health status,Health status,Categorical,N/A,Yes,"cchs2001_i, cchs2003_i, cchs2005_i","cchs2001_i::RACA_6D, cchs2003_i::RACC_6D, cchs2005_i::RACE_6D",
