variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description
ALC_1,intermediate,Alcohol past year,"Past year, have you drank alcohol",Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::ALCA_1, cchs2003_p::ALCC_1, cchs2005_p::ALCE_1, [ALC_1]",
ALCDTTM,"predictor, table1_short, table1_master",Drinker type (last 12 months),Type of drinker (last 12 months),Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::ALCADTYP, cchs2003_p::ALCCDTYP, cchs2005_p::ALCEDTYP, [ALCDTTM]",
ALW_1,intermediate,Any alcohol past week,"Past week, had any alcohol",Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::ALCA_5, cchs2003_p::ALCC_5, cchs2005_p::ALCE_5, [ALW_1]",
ALW_2A1,intermediate,DailyConsumptionSunday,Number of drinks on Sunday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::ALCA_5A1, cchs2003_p::ALCC_5A1, cchs2005_p::ALCE_5A1, [ALW_2A1]",
ALW_2A2,intermediate,# of drinks - Monday,Number of drinks on Monday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::ALCA_5A2, cchs2003_p::ALCC_5A2, cchs2005_p::ALCE_5A2, [ALW_2A2]",
ALW_2A3,intermediate,# of drinks - Sunday,Number of drinks on Tuesday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::ALCA_5A3, cchs2003_p::ALCC_5A3, cchs2005_p::ALCE_5A3, [ALW_2A3]",
ALW_2A4,intermediate,# of drinks - Sunday,Number of drinks on Wednesday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::ALCA_5A4, cchs2003_p::ALCC_5A4, cchs2005_p::ALCE_5A4, [ALW_2A4]",
ALW_2A5,intermediate,# of drinks - Sunday,Number of drinks on Thursday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::ALCA_5A5, cchs2003_p::ALCC_5A5, cchs2005_p::ALCE_5A5, [ALW_2A5]",
ALW_2A6,intermediate,# of drinks - Sunday,Number of drinks on Friday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::ALCA_5A6, cchs2003_p::ALCC_5A6, cchs2005_p::ALCE_5A6, [ALW_2A6]",
ALW_2A7,intermediate,# of drinks - Sunday,Number of drinks on Saturday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::ALCA_5A7, cchs2003_p::ALCC_5A7, cchs2005_p::ALCE_5A7, [ALW_2A7]",
ALWDWKY,"predictor, table1_long, table1_master",Drinks last week,Weekly consumption of alcohol,Health behaviour,Alcohol,Continuous,drinks/week,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::ALCADWKY, cchs2003_p::ALCCDWKY, cchs2005_p::ALCEDWKY, [ALWDWKY]",
binge_drinker,"predictor, table1_long, table1_master",Binge Drinker,Binge Drinker,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015","DerivedVar::[DHH_SEX, ALW_1, ALW_2A1, ALW_2A2, ALW_2A3, ALW_2A4, ALW_2A5, ALW_2A6, ALW_2A7]",
CCC_031,"predictor, table1_long, table1_master",Asthma,Do you have asthma?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::CCCA_031, cchs2003_p::CCCC_031, cchs2005_p::CCCE_031, [CCC_031]",
CCC_041,Drop,Fibromyalgia,Do you have Fibromyalgia?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2014_p","cchs2001_p::CCCA_041, cchs2003_p::CCCC_041, cchs2005_p::CCCE_041, [CCC_041]",
CCC_051,"predictor, table1_short, table1_master, outcome_sec",Arthritis/Rheumatism,Do you have arthritis or rheumatism?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::CCCA_051, cchs2003_p::CCCC_051, cchs2005_p::CCCE_051, [CCC_051]",
CCC_061,"predictor, table1_short, table1_master, outcome_sec",Back problems,Do you have back problems?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::CCCA_061, cchs2003_p::CCCC_061, cchs2005_p::CCCE_061, [CCC_061]",
CCC_071,"predictor, table1_short, table1_master, outcome_sec",Hypertension,Do you have high blood pressure,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::CCCA_071, cchs2003_p::CCCC_071, cchs2005_p::CCCE_071, [CCC_071]",
CCC_073,Drop,Hypertension medication,In the past month have you taken any medicine for high blood pressure?,Health status,Chronic condition,Categorical,N/A,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2005_p::CCCE_073, [CCC_073]",
CCC_091,Drop,COPD/Emphysema,"Do you have COPD (eg bronchitis, emphysema)",Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::CCCA_91B, cchs2003_p::CCCC_91B, [CCC_091]",
CCC_101,"predictor, table1_short, table1_master, outcome_sec",Diabetes,Do you have diabetes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::CCCA_101, cchs2003_p::CCCC_101, cchs2005_p::CCCE_101, [CCC_101]",
CCC_121,"predictor, table1_short, table1_master, outcome_sec",Heart Disease,Do you have heart disease,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::CCCA_121, cchs2003_p::CCCC_121, cchs2005_p::CCCE_121, [CCC_121]",
CCC_131,"predictor, table1_short, table1_master, outcome_sec",Active Cancer,Do you have cancer,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::CCCA_131, cchs2003_p::CCCC_131, cchs2005_p::CCCE_131, [CCC_131]",
CCC_151,"predictor, table1_short, table1_master, outcome_sec",Stroke,Do you suffer from effects of stroke,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::CCCA_151, cchs2003_p::CCCC_151, cchs2005_p::CCCE_151, [CCC_151]",
CCC_171,"predictor, table1_short, table1_master, outcome_sec",Bowel disorder,Do you have a bowel disorder such as Crohn's disease or colitis?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::CCCA_171, cchs2003_p::CCCC_171, cchs2005_p::CCCE_171, [CCC_171]",
CCC_251,Drop,Chronic fatigue,Do you have chronic fatigue syndrome?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p","cchs2001_p::CCCA_251, cchs2003_p::CCCC_251, cchs2005_p::CCCE_251, [CCC_251]",
CCC_280,"predictor, table1_short, table1_master, outcome_sec",Mood disorder,Do you have a mood disorder,Health status,Chronic condition,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2003_p::CCCC_280, cchs2005_p::CCCE_280, [CCC_280]",
CCC_31A,"predictor, table1_long, table1_master",Cancer diagnosis,Have you ever been diagnosed with cancer?,Health status,Chronic condition,Categorical,N/A,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2005_p::CCCE_31A, [CCC_31A]",
CCC_91A,"predictor, table1_long, table1_master",Bronchitis,Do you have chronic bronchitis?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p","cchs2001_p::CCCA_91A, cchs2003_p::CCCC_91A, cchs2005_p::CCCE_91A, [CCC_91A]",
CCC_91E,Drop,Emphysema,Do you have emphysema?,Health status,Chronic condition,Categorical,N/A,"cchs2005_p, cchs2007_2008_p","cchs2005_p::CCCE_91E, cchs2007_2008_p::CCC_91E",
CCC_91F,Drop,COPD,Do you have COPD?,Health status,Chronic condition,Categorical,N/A,"cchs2005_p, cchs2007_2008_p","cchs2005_p::CCCE_91F, cchs2007_2008_p::CCC_91F",
COPD_Emph_der,"predictor, table1_long, table1_master",COPD/Emphysema,COPD/Emphysema,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","DerivedVar::[DHHGAGE_cont, CCC_91E, CCC_91F], DerivedVar::[DHHGAGE_cont, CCC_091]",
DHH_OWN,"predictor, table1_long, table1_master",Home ownership,Dwelling - owned by a member of hsld,Sociodemographics,Home ownership,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::DHHA_OWN, cchs2003_p::DHHC_OWN, cchs2005_p::DHHE_OWN, [DHH_OWN]",
DHH_SEX,"predictor, table1_short, stratifier, table1_master",Sex,Sex,Demographics,Sex,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::DHHA_SEX, cchs2003_p::DHHC_SEX, cchs2005_p::DHHE_SEX, [DHH_SEX]",
DHHGAGE_C,"predictor, table1_short, table1_master",Categorical Age,Categorical age,Demographics,Age,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p",DerivedVar::[DHHHGAGE_cont],
DHHGAGE_cont,"predictor, table1_short, table1_master",Continuous Age,Converted categorical age,Demographics,Age,Continuous,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::DHHAGAGE, cchs2003_p::DHHCGAGE, cchs2005_p::DHHEGAGE, [DHHGAGE]",Continuous age variable
DHHGHSZ,"intermediate, table1_master",Household size,Household size,Sociodemographics,Household size,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2003_p::DHHCGHSZ, cchs2005_p::DHHEGHSZ, [DHHGHSZ]",
DHHGMS,"predictor, table1_short, table1_master",Marital status,Marital status - (G),Sociodemographics,Marital Status,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::DHHAGMS, cchs2003_p::DHHCGMS, cchs2005_p::DHHEGMS, [DHHGMS]",
diet_score,"predictor, table1_short, table1_master",Diet score ,"Diet score (0 to 10) based on daily consumption of fruit, vegetables and fruit juice",Health behaviour,Diet,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","DerivedVar::[FVCDFRU, FVCDSAL, FVCDPOT, FVCDCAR, FVCDVEG, FVCDJUI, DHH_SEX]","A derived diet variable based on daily consumption of ""fruit, salad, potatoes, carrots, other vegetables, and juice"". Two baseline points plus summation of total points for diet attributes with penalty for high potato intake, no carrot intake and high juice consumption (negative overall scores are recoded to 0, resulting in a range from 0 to 10)."
DPSDSF,"predictor, table1_short, table1_master, outcome_sec",Depression Scale - Short Form Score,Depression Scale - Short Form Score,Health status,Chronic condition,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::DPSADSF, cchs2003_p::DPSCDSF, cchs2005_p::DPSEDSF, [DPSDSF]",
EDUDR04,"predictor, table1_short, table1_master",Highest education,Highest level/education,Sociodemographics,Education,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::EDUADR04, cchs2003_p::EDUCDR04, cchs2005_p::EDUEDR04, [EDUDR04]",
FINF1,intermediate,Food insecurity 12M,Some food insecurity in past 12 months,Sociodemographics,Food security,Categorical,N/A,"cchs2001_p, cchs2003_p","cchs2001_p::FINAF1, cchs2003_p::FINCF1",
FLU_160,"table1_long, table1_master",Ever had a flu shot,Have you ever had a flu shot?,Health care use,Vaccination,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::FLUA_160, cchs2003_p::FLUC_160, cchs2005_p::FLUE_160, [FLU_160]",
FLU_162,"table1_long, table1_master",Last time had flu shot,When did you have your last flu shot?,Health care use,Vaccination,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::FLUA_162, cchs2003_p::FLUC_162, cchs2005_p::FLUE_162, [FLU_162]",
food_insecurity_der,"predictor, table1_master",Food insecurity (last 12 months),Derived food insecurity,Sociodemographics,Food security,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","DerivedVar::[FINF1], DerivedVar::[FSCDHFS], DerivedVar::[FSCDHFS2]",
FSCDHFS,"table1_long, table1_master",Food security,Household food security status - (D),Sociodemographics,Food security,Categorical,N/A,cchs2005_p,[FSCEDHFS],
FSCDHFS2,intermediate,HC food security,Household food security status - (HC),Sociodemographics,Food security,Categorical,N/A,"cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p",[FSCDHFS2],
FVCDCAR,"intermediate, z_score",Carrot consumption,Daily consumption - carrots (D),Health behaviour,Diet,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::FVCADCAR, cchs2003_p::FVCCDCAR, cchs2005_p::FVCEDCAR, [FVCDCAR]",
FVCDFRU,"intermediate, z_score",Fruit consumption,Daily consumption - fruit - (D),Health behaviour,Diet,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::FVCADFRU, cchs2003_p::FVCCDFRU, cchs2005_p::FVCEDFRU, [FVCDFRU]",
FVCDJUI,"intermediate, z_score",Juice consumption,Daily consumption - fruit juice (D),Health behaviour,Diet,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::FVCADJUI, cchs2003_p::FVCCDJUI, cchs2005_p::FVCEDJUI, [FVCDJUI]",
FVCDPOT,"intermediate, z_score",Potato consumption,Daily consumption - potatoes (D),Health behaviour,Diet,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::FVCADPOT, cchs2003_p::FVCCDPOT, cchs2005_p::FVCEDPOT, [FVCDPOT]",
FVCDSAL,"intermediate, z_score",Salad consumption,Daily consumption - green salad - (D),Health behaviour,Diet,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::FVCADSAL, cchs2003_p::FVCCDSAL, cchs2005_p::FVCEDSAL, [FVCDSAL]",
FVCDTOT,"table1_long, table1_master",Total fruit/veg consumption,Daily consumptoin - total fruits and veg. - (D),Health behaviour,Diet,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::FVCADTOT, cchs2003_p::FVCCDTOT, cchs2005_p::FVCEDTOT, [FVCDTOT]",
FVCDVEG,"intermediate, z_score",Other veg consumption,Daily consumption other vegetables - (D),Health behaviour,Diet,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::FVCADVEG, cchs2003_p::FVCCDVEG, cchs2005_p::FVCEDVEG, [FVCDVEG]",
GEN_01,"predictor, table1_short, outcome_sec, table1_master",Self perceived health,Self perceived health,Health behaviour,Self-perceived health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::GENA_01, cchs2003_p::GENC_01, cchs2005_p::GENE_01, [GEN_01]",
GEN_02A,"predictor, outcome_sec, table1_master,  table1_long",Life satisfaction_cat,Satisfaction with life,Health behaviour,Life satisfaction,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p","cchs2003_p::GENC_02A, cchs2005_p::GENE_02A, [GEN_02A]",
GEN_02A2,"predictor, outcome_sec, table1_master",Life satisfaction_cont,Satisfaction with life in general,Health behaviour,Life satisfaction,Continuous,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2003_p::GENC_02A, cchs2005_p::GENE_02A, cchs2007_2008_p::GEN_02A, [GEN_02A2]",
GEN_02B,"predictor, outcome_sec, table1_master,  table1_long",Self-perceived mental health,Self-perceived mental health,Health behaviour,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2003_p::GENC_02B, cchs2005_p::GENE_02B, [GEN_02B]",
GEN_07,"predictor, outcome_sec, table1_master,  table1_long",Self-perceived life stress,Self perceived life stress,Health behaviour,Mental health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::GENA_07, cchs2003_p::GENC_07, cchs2005_p::GENE_07, [GEN_07]",
GEN_09,"predictor, outcome_sec, table1_master,  table1_long",Self-perceived work stress,Self perceived work stress,Health behaviour,Mental health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::GENA_09, cchs2003_p::GENC_09, cchs2005_p::GENE_09, [GEN_09]",
GEN_10,"predictor, outcome_sec, table1_master,  table1_long",Sense of belonging,Sense of belonging in the community,Health behaviour,Mental health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::GENA_10, cchs2003_p::GENC_10, cchs2005_p::GENE_10, [GEN_10]",
GEOGPRV,"stratifier, table1_master",Province,Province of residence of respondent (G),Province,Province,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::GEOAGPRV, cchs2003_p::GEOCGPRV, cchs2005_p::GEOEGPRV, [GEOGPRV]",
HCU_1AA,"predictor, table1_master, table1_short",Has regular medical doctor,Do you have a regular medical doctor?,Health care use,Medical care,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::TWDA_5, cchs2003_p::HCUC_1AA, cchs2005_p::HCUE_1AA, [HCU_1AA]",
HUIDCOG,"outcome_sec, table1_master,  table1_long",HUI Cognition,Cognition prob. - function code - (D),Health status,HUI Cognition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2013_2014_p","cchs2001_p::HUIADCOG, cchs2003_p::HUICDCOG, cchs2005_p::HUIEDCOG, [HUIDCOG]",
HUIDEMO,"outcome_sec, table1_master,  table1_long",HUI Emotion,Emotional problems - function code - (D),Health status,HUI Emotion,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2013_2014_p","cchs2001_p::HUIADEMO, cchs2003_p::HUICDEMO, cchs2005_p::HUIEDEMO, [HUIDEMO]",
HUIDHSI,"outcome, table1_short, table1_master",Overall HUI,Health Utility Index (HUI3) - (D),Health status,Health utility index,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2013_2014_p","cchs2001_p::HUIADHSI, cchs2003_p::HUICDHSI, cchs2005_p::HUIEDHSI, [HUIDHSI]",
HUIGDEX,"outcome_sec, table1_master,  table1_long",HUI Dexterity,"Dexterity trouble - function code (D, G)",Health status,HUI Dexterity,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2013_2014_p","cchs2001_p::HUIAGDEX, cchs2003_p::HUICGDEX, cchs2005_p::HUIEGDEX, [HUIGDEX]",
